keyword,match_type
douxos3 dog shampoo,Negative exact
coat defense shampoo for dogs,Negative exact
pitbull shampoo,Negative exact
espree dog shampoo,Negative exact
dog shampoo dispenser,Negative exact
shampoo para perros,Negative exact
gloves,Negative phrase
fleas,Negative phrase
flea,Negative phrase
tick,Negative phrase
aloe,Negative phrase
brush,Negative phrase
chihuahua,Negative phrase
chlorhexidine,Negative phrase
feet,Negative phrase
human,Negative phrase
keto,Negative phrase
ketoconazole,Negative phrase
oatmeal,Negative phrase
organic,Negative phrase
scrubber,Negative phrase
shed,Negative phrase
shedding,Negative phrase
soap,Negative phrase
waterless,Negative phrase
whitening,Negative phrase
dandruff,Negative phrase
pet,Negative phrase
paw,Negative phrase
best,Negative phrase
conditioner,Negative phrase
shampoo for dogs,Negative exact
apple cider vinegar,Negative phrase
mites,Negative phrase
cat,Negative phrase
dry shampoo,Negative phrase
mange shampoo for dogs,Negative exact
arm and hammer dog shampoo,Negative exact
sulfur,Negative phrase
powder shampoo for dogs,Negative exact
tea tree,Negative phrase
neem,Negative phrase
sulfur shampoo for dogs,Negative exact
malaseb shampoo for dogs,Negative exact
antibiotic,Negative phrase
douxo shampoo for dogs,Negative exact
dog antifungal shampoo,Negative exact
itch shampoo for dogs,Negative exact
dog itching skin relief shampoo,Negative exact
yeast dog shampoo,Negative exact
