token,search_terms,clicks,spend,sales,orders,cvr,acos,cpc,token_type,already_negative,click_share,sales_share,relative_cvr,issue_zero_sales,issue_low_relevancy,issue_high_spend,score,recommendation,reason
dog skin,11,14,32.84,0.0,0,0.0,0.0,2.345714285714286,word_pair,False,0.005816368923971749,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
no,10,10,22.5,0.0,0,0.0,0.0,2.25,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
smell,9,10,20.880000000000003,0.0,0,0.0,0.0,2.088,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
coat,9,10,20.490000000000002,0.0,0,0.0,0.0,2.0490000000000004,single_word,False,0.004154549231408392,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
loss,8,9,20.2,0.0,0,0.0,0.0,2.2444444444444445,single_word,False,0.003739094308267553,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
free,8,9,18.96,0.0,0,0.0,0.0,2.106666666666667,single_word,False,0.003739094308267553,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
hair loss,7,8,18.28,0.0,0,0.0,0.0,2.285,word_pair,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
irritated,5,8,16.13,0.0,0,0.0,0.0,2.01625,single_word,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antibacterial shampoo,4,8,15.91,0.0,0,0.0,0.0,1.98875,word_pair,False,0.0033236393851267137,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
pitbulls,4,7,16.86,0.0,0,0.0,0.0,2.4085714285714284,single_word,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
spots,7,7,15.81,0.0,0,0.0,0.0,2.2585714285714285,single_word,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
hot spots,7,7,15.81,0.0,0,0.0,0.0,2.2585714285714285,word_pair,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
irritated skin,4,7,13.92,0.0,0,0.0,0.0,1.9885714285714287,word_pair,False,0.0029081844619858743,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo pitbulls,3,6,14.600000000000001,0.0,0,0.0,0.0,2.4333333333333336,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
ph,4,6,13.63,0.0,0,0.0,0.0,2.271666666666667,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
espree,3,6,13.25,0.0,0,0.0,0.0,2.2083333333333335,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
treatment dogs,5,6,13.18,0.0,0,0.0,0.0,2.1966666666666668,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antiseptic antifungal,6,6,12.64,0.0,0,0.0,0.0,2.106666666666667,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dog hair,6,6,12.59,0.0,0,0.0,0.0,2.098333333333333,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
antiseptic dog,3,6,12.229999999999999,0.0,0,0.0,0.0,2.038333333333333,word_pair,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
rinse,6,6,11.579999999999998,0.0,0,0.0,0.0,1.9299999999999997,single_word,False,0.0024927295388450354,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
skin irritation,4,5,11.600000000000001,0.0,0,0.0,0.0,2.3200000000000003,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo help,5,5,11.28,0.0,0,0.0,0.0,2.256,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
infection treatment,4,5,10.72,0.0,0,0.0,0.0,2.144,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dander shampoo,3,5,10.61,0.0,0,0.0,0.0,2.122,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
free dog,4,5,9.969999999999999,0.0,0,0.0,0.0,1.9939999999999998,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
douxos3 dog,1,5,8.29,0.0,0,0.0,0.0,1.658,word_pair,False,0.002077274615704196,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
skin allergy,2,4,9.31,0.0,0,0.0,0.0,2.3275,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
espree dog,1,4,8.75,0.0,0,0.0,0.0,2.1875,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
no rinse,4,4,8.719999999999999,0.0,0,0.0,0.0,2.1799999999999997,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo irritated,3,4,8.48,0.0,0,0.0,0.0,2.12,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dry shin,1,4,8.12,0.0,0,0.0,0.0,2.03,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
extreme dry,1,4,8.12,0.0,0,0.0,0.0,2.03,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo extreme,1,4,8.12,0.0,0,0.0,0.0,2.03,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dogs yeast,4,4,8.07,0.0,0,0.0,0.0,2.0175,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
dog dander,2,4,7.9,0.0,0,0.0,0.0,1.975,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
shampoo dispenser,1,4,7.56,0.0,0,0.0,0.0,1.89,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,True,16.0,Strong negative candidate,high clicks with zero sales; conversion rate far below campaign baseline; high spend without sales
clean dog,3,4,6.24,0.0,0,0.0,0.0,1.56,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,False,13.0,Review as negative,high clicks with zero sales; conversion rate far below campaign baseline
nootie medicated,1,4,6.17,0.0,0,0.0,0.0,1.5425,word_pair,False,0.0016618196925633569,0.0,0.0,True,True,False,13.0,Review as negative,high clicks with zero sales; conversion rate far below campaign baseline
